scenario,controller,seed,cum_idle,cum_co2,bus_pct,switches,n_ticks
1,DQN,84,10255.000,26877400.623,88.9262,200,364
1,DQN,85,11072.000,27254928.065,89.9329,194,364
1,DQN,86,10296.000,26972582.435,91.1263,200,363
1,DQN,87,10794.000,26938069.874,87.9599,202,364
1,DQN,88,11394.000,27386812.882,91.1864,198,363
1,DQN,89,11309.000,27009828.089,91.8367,202,364
1,DQN,90,12192.000,27091434.128,91.4676,192,363
1,DQN,91,10760.000,26960676.323,92.1502,192,364
1,DQN,92,11281.000,27301666.023,89.7959,196,363
1,DQN,93,11096.000,26856221.515,92.1769,200,363
1,DQN,94,10949.000,27346638.520,89.2617,198,363
1,DQN,95,11177.000,27089137.907,91.4089,202,364
1,DQN,96,11377.000,27147417.970,89.5973,194,364
1,DQN,97,11285.000,27290488.098,90.1361,194,364
1,DQN,98,10226.000,27210785.925,91.1565,204,365
1,DQN,99,11062.000,27180395.742,90.4437,198,363
1,DQN,100,11910.000,27159690.251,90.8784,192,363
