scenario,controller,seed,ttime,North_CO2,East_CO2,vehicles_NS,vehicles_EW,observed_NS,observed_EW,bus_count_NS,bus_count_EW,phase,idle_time_NS,idle_time_EW
4,Active Inference,1,2160.0,33518.505428312405,149851.37304943625,10,28,9,22,0,1,0,31.0,1467.0
4,Active Inference,1,2170.0,40059.606628792535,90823.59591133764,8,37,7,30,1,1,2,0.0,1666.0
4,Active Inference,1,2180.0,68417.52219543494,100344.65147630521,11,32,11,28,1,1,2,14.0,1868.0
4,Active Inference,1,2190.0,50115.327197537066,99010.93000566302,15,33,12,27,1,1,0,64.0,2094.0
4,Active Inference,1,2200.0,19086.27687182873,105595.83215287437,7,37,7,29,0,1,2,0.0,2344.0
4,Active Inference,1,2210.0,38088.83618822857,95792.73153222547,9,34,8,29,1,0,0,14.0,2573.0
4,Active Inference,1,2220.0,33621.49966618342,105185.696011863,6,38,6,29,1,0,2,0.0,2833.0
4,Active Inference,1,2230.0,52214.563662341985,114166.5209666502,10,39,10,36,1,0,0,11.0,3104.0
4,Active Inference,1,2240.0,28134.455340143642,118408.254333903,7,45,7,39,0,0,2,0.0,3426.0
4,Active Inference,1,2250.0,29601.9309692375,127008.93036766973,8,44,7,38,0,0,0,11.0,3759.0
4,Active Inference,1,2260.0,30073.390220289337,158779.44544821515,6,52,6,39,0,1,2,0.0,4138.0
4,Active Inference,1,2270.0,32577.25634774281,161469.3815775295,9,52,7,33,0,2,2,7.0,4532.0
4,Active Inference,1,2280.0,68735.46341778712,148842.79764332547,13,53,13,42,1,2,0,50.0,4984.0
4,Active Inference,1,2290.0,23530.791394506978,157093.51568726072,6,57,4,39,1,2,2,0.0,5464.0
4,Active Inference,1,2300.0,18414.00735981972,166147.32868721217,9,54,9,41,1,2,0,16.0,5924.0
4,Active Inference,1,2310.0,33074.91549081915,142812.95789352705,5,55,5,42,1,2,2,0.0,4808.0
4,Active Inference,1,2320.0,59036.03634510855,129172.45551460271,11,46,10,30,2,2,2,3.0,2765.0
4,Active Inference,1,2330.0,54858.422505345145,123622.5174356913,14,42,11,31,2,2,0,33.0,1020.0
4,Active Inference,1,2340.0,22564.475221755718,116587.0438199057,8,44,8,32,0,2,2,0.0,480.0
4,Active Inference,1,2350.0,20399.9195054488,111850.2196062073,9,34,9,25,0,1,0,19.0,5.0
4,Active Inference,1,2360.0,12182.708727046456,88089.25923680625,5,37,5,31,0,1,2,0.0,54.0
4,Active Inference,1,2370.0,23021.899521763375,85951.35568049843,9,29,9,26,0,0,2,13.0,5.0
4,Active Inference,1,2380.0,64436.13029664295,87064.98968657451,14,27,13,23,1,0,2,55.0,3.0
4,Active Inference,1,2390.0,53993.11948703548,56338.42998307191,18,24,16,20,1,0,0,134.0,0.0
4,Active Inference,1,2400.0,53298.02165601129,94766.80902243222,9,32,9,29,1,1,2,0.0,47.0
4,Active Inference,1,2410.0,22861.65881385183,143980.73264021348,12,31,11,25,1,2,0,23.0,1.0
4,Active Inference,1,2420.0,30910.228056108048,82670.12107403102,5,38,5,28,0,2,2,0.0,49.0
4,Active Inference,1,2430.0,29922.059348274914,133949.71168339415,9,32,8,23,0,1,0,3.0,1.0
4,Active Inference,1,2440.0,30120.514557947605,131376.65692804553,6,39,6,29,0,2,2,0.0,54.0
4,Active Inference,1,2450.0,23737.58481394747,103353.43488161388,9,32,8,25,0,2,0,7.0,0.0
4,Active Inference,1,2460.0,16923.33728485905,107309.14037723714,6,39,6,21,0,3,2,0.0,46.0
4,Active Inference,1,2470.0,38321.56020900147,90762.80579392673,9,33,9,23,1,2,0,9.0,4.0
